CRXIHGZAGEEBDDQIHMNM;OQIWRERNVIRGSRZH
the quick brown fox;the fast brown dogs
thisisatest;testing123testing
YZIQAMZLXEVEJFX;OAAJGTFZDZNNGOTUP
hello world mordor;lord of the rings
ZEMZMTGUKBNYFORZ;JBQWHYLARYKKII
GMOHUXWUMNWD;ZBITDJMXRHTJKGLVIEXR
HGBULQFPGPTGUXLAAQ;NELWIWRTVO
LWKUHLWTIBZWKQH;METSPRXNAEIY
OEJYXMGVHFFSGCKHXGZG;NMFZFASXZXSAWHFR
XJTWDLUAVICE;YBRNYJTOPMDDICJ
KIGOJIKGQEYBLHFY;XWYVMYMHTQAHBOCJQVUTEH
TSARVEVHHPZBJYXQFB;ODLWPKLXDG
SAIJXZGUYU;FMEFKVADUPBOHN
FBQHPQKJWZDTMRDZU;OPEGVPBEPXI
HCGHRXTSLTZGTFOH;FVIWGMBBIBWPOJSNJMRSJG
UPNVESGZVRS;OJOBLFNLEASADFHSGWLNV
JSACEDWMXDCDX;UWOIFGUMRGSIFVFBVTLY
IHLRVPEIPKCBHR;HKLLQJEKMTWRVO
AZUIRPAQRDKHXGXHQ;MQGMXBBSFAEHNXW
